LGD,Occupied Stock 2010,Vacant Stock 2010,Housing Stock 2010,Occupied Stock 2011,Vacant Stock 2011,Housing Stock 2011,Occupied Stock 2012,Vacant Stock 2012,Housing Stock 2012
Antrim,19229,1194,20423,19562,954,20516,19863,672,20535
Ards,31721,2093,33808,32194,1879,34073,32713,1444,34157
Armagh,20941,2045,22983,21288,1907,23195,21661,1415,23076
Ballymena,24405,1362,25766,24695,1196,25891,25072,857,25929
Ballymoney,11200,824,12023,11417,703,12120,11574,521,12095
Banbridge,17738,1490,19229,18066,1366,19432,18430,1030,19460
Belfast,121704,8313,130024,123396,7983,131379,125125,6678,131803
Carrickfergus,16046,753,16797,16224,653,16877,16347,536,16883
Castlereagh,27386,1205,28586,27657,1170,28827,28022,827,28849
Coleraine,25870,2469,28340,26246,2305,28551,26704,1803,28507
Cookstown,12419,1238,13656,12675,1069,13744,12916,857,13773
Craigavon,34997,2815,37813,35824,2420,38244,36593,1742,38335
Derry,40584,1975,42559,41193,1701,42894,41717,1425,43142
Down,25991,2139,28128,26350,2079,28429,26758,1676,28434
Dungannon,18942,2662,21604,19560,2280,21840,20034,1785,21819
Fermanagh,23232,2856,26087,23616,2634,26250,24068,2416,26484
Larne,13281,1035,14316,13507,855,14362,13747,627,14374
Limavady,11662,1159,12820,12033,958,12991,12250,735,12985
Lisburn,44427,2788,47216,45260,2511,47771,46156,1853,48009
Magherafelt,14420,1172,15592,14667,1055,15722,14941,760,15701
Moyle,7560,757,8318,7686,751,8437,7825,565,8390
Newry and Mourne,33003,3295,36298,33822,2994,36816,34521,2413,36934
Newtownabbey,33885,1286,35169,34507,987,35494,34777,844,35621
North Down,32989,1707,34691,33354,1589,34943,33797,1141,34938
Omagh,17973,1943,19914,18300,1753,20053,18610,1482,20092
Strabane,14726,1143,15870,14974,1006,15980,15169,823,15992
